shelfmark	issued	titles	bundles	no bundle	quota bundles	rvk	no rvk	quota rvk
00	2019	1	1	0	100,00	1	0	100,00
00	2018	14	3	11	21,43	3	11	21,43
00	2017	5	4	1	80,00	4	1	80,00
00	2016	13	11	2	84,62	10	3	76,92
00	2015	7	6	1	85,71	5	2	71,43
00	2014	21	17	4	80,95	12	9	57,14
00	2013	20	15	5	75,00	9	11	45,00
00	2012	24	17	7	70,83	15	9	62,50
00	2011	24	16	8	66,67	7	17	29,17
00	2010	35	24	11	68,57	10	25	28,57
10	2018	3	3	0	100,00	3	0	100,00
10	2017	11	8	3	72,73	8	3	72,73
10	2016	4	1	3	25,00	1	3	25,00
10	2015	10	3	7	30,00	3	7	30,00
10	2014	6	5	1	83,33	5	1	83,33
10	2013	14	12	2	85,71	12	2	85,71
10	2012	12	9	3	75,00	9	3	75,00
10	2011	16	13	3	81,25	13	3	81,25
10	2010	14	10	4	71,43	10	4	71,43
16	2018	5	5	0	100,00	5	0	100,00
16	2017	13	10	3	76,92	10	3	76,92
16	2016	10	6	4	60,00	6	4	60,00
16	2015	5	3	2	60,00	3	2	60,00
16	2014	11	11	0	100,00	11	0	100,00
16	2013	9	9	0	100,00	9	0	100,00
16	2012	3	2	1	66,67	2	1	66,67
16	2011	12	10	2	83,33	9	3	75,00
16	2010	8	6	2	75,00	6	2	75,00
20	2017	1	0	1	0,00	0	1	0,00
20	2016	6	5	1	83,33	4	2	66,67
20	2015	4	4	0	100,00	4	0	100,00
20	2014	2	2	0	100,00	2	0	100,00
20	2013	3	3	0	100,00	3	0	100,00
20	2012	3	2	1	66,67	2	1	66,67
20	2011	4	3	1	75,00	3	1	75,00
20	2010	2	1	1	50,00	1	1	50,00
30	2018	2	0	2	0,00	0	2	0,00
30	2017	5	5	0	100,00	5	0	100,00
30	2016	9	7	2	77,78	7	2	77,78
30	2015	5	5	0	100,00	5	0	100,00
30	2014	5	5	0	100,00	5	0	100,00
30	2013	12	8	4	66,67	8	4	66,67
30	2012	8	5	3	62,50	5	3	62,50
30	2011	6	6	0	100,00	6	0	100,00
30	2010	13	13	0	100,00	13	0	100,00
40	2019	3	2	1	66,67	2	1	66,67
40	2018	40	32	8	80,00	31	9	77,50
40	2017	70	63	7	90,00	60	10	85,71
40	2016	83	68	15	81,93	65	18	78,31
40	2015	97	82	15	84,54	77	20	79,38
40	2014	119	108	11	90,76	104	15	87,39
40	2013	114	90	24	78,95	88	26	77,19
40	2012	79	72	7	91,14	71	8	89,87
40	2011	104	90	14	86,54	87	17	83,65
40	2010	100	86	14	86,00	86	14	86,00
50	2018	3	3	0	100,00	3	0	100,00
50	2017	8	7	1	87,50	7	1	87,50
50	2016	8	8	0	100,00	7	1	87,50
50	2015	6	6	0	100,00	6	0	100,00
50	2014	6	4	2	66,67	4	2	66,67
50	2013	8	8	0	100,00	8	0	100,00
50	2012	3	3	0	100,00	3	0	100,00
50	2011	9	9	0	100,00	8	1	88,89
50	2010	7	5	2	71,43	5	2	71,43
60	2019	2	1	1	50,00	1	1	50,00
60	2018	17	12	5	70,59	12	5	70,59
60	2017	17	9	8	52,94	9	8	52,94
60	2016	11	7	4	63,64	7	4	63,64
60	2015	26	17	9	65,38	17	9	65,38
60	2014	27	19	8	70,37	19	8	70,37
60	2013	17	14	3	82,35	14	3	82,35
60	2012	36	22	14	61,11	21	15	58,33
60	2011	34	20	14	58,82	17	17	50,00
60	2010	26	17	9	65,38	17	9	65,38
70	2018	1	1	0	100,00	1	0	100,00
70	2014	1	1	0	100,00	1	0	100,00
70	2010	1	1	0	100,00	1	0	100,00
80	2018	2	2	0	100,00	2	0	100,00
80	2017	2	2	0	100,00	2	0	100,00
80	2016	12	9	3	75,00	9	3	75,00
80	2015	10	10	0	100,00	10	0	100,00
80	2014	9	8	1	88,89	8	1	88,89
80	2013	11	7	4	63,64	7	4	63,64
80	2012	10	9	1	90,00	9	1	90,00
80	2011	24	21	3	87,50	21	3	87,50
80	2010	23	22	1	95,65	21	2	91,30
Ya	2018	7	5	2	71,43	5	2	71,43
Ya	2017	16	12	4	75,00	12	4	75,00
Ya	2016	14	14	0	100,00	14	0	100,00
Ya	2015	12	11	1	91,67	11	1	91,67
Ya	2014	28	26	2	92,86	26	2	92,86
Ya	2013	52	51	1	98,08	51	1	98,08
Ya	2012	35	34	1	97,14	34	1	97,14
Ya	2011	49	47	2	95,92	47	2	95,92
Ya	2010	55	54	1	98,18	54	1	98,18
